Domain,Area,Element,Item,Year,Unit,Value,Note
"Land Use","Brazil","Area","Land area","1961","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1962","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1963","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1964","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1965","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1966","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1967","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1968","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1969","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1970","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1971","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1972","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1973","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1974","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1975","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1976","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1977","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1978","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1979","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1980","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1981","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1982","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1983","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1984","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1985","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1986","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1987","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1988","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1989","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1990","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1991","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1992","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1993","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1994","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1995","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1996","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1997","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1998","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","1999","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2000","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2001","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2002","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2003","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2004","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2005","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2006","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2007","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2008","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2009","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2010","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2011","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2012","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2013","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2014","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2015","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2016","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2017","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2018","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2019","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2020","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2021","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2022","1000 ha","835814",""
"Land Use","Brazil","Area","Land area","2023","1000 ha","835814",""
"Land Use","Brazil","Area","Permanent crops","1961","1000 ha","7816",""
"Land Use","Brazil","Area","Permanent crops","1962","1000 ha","7814",""
"Land Use","Brazil","Area","Permanent crops","1963","1000 ha","7811",""
"Land Use","Brazil","Area","Permanent crops","1964","1000 ha","7809",""
"Land Use","Brazil","Area","Permanent crops","1965","1000 ha","7807",""
"Land Use","Brazil","Area","Permanent crops","1966","1000 ha","7805",""
"Land Use","Brazil","Area","Permanent crops","1967","1000 ha","7803",""
"Land Use","Brazil","Area","Permanent crops","1968","1000 ha","7801",""
"Land Use","Brazil","Area","Permanent crops","1969","1000 ha","7799",""
"Land Use","Brazil","Area","Permanent crops","1970","1000 ha","7984",""
"Land Use","Brazil","Area","Permanent crops","1971","1000 ha","8064",""
"Land Use","Brazil","Area","Permanent crops","1972","1000 ha","8144",""
"Land Use","Brazil","Area","Permanent crops","1973","1000 ha","8225",""
"Land Use","Brazil","Area","Permanent crops","1974","1000 ha","8305",""
"Land Use","Brazil","Area","Permanent crops","1975","1000 ha","8385",""
"Land Use","Brazil","Area","Permanent crops","1976","1000 ha","8802",""
"Land Use","Brazil","Area","Permanent crops","1977","1000 ha","9220",""
"Land Use","Brazil","Area","Permanent crops","1978","1000 ha","9637",""
"Land Use","Brazil","Area","Permanent crops","1979","1000 ha","10055",""
"Land Use","Brazil","Area","Permanent crops","1980","1000 ha","10472",""
"Land Use","Brazil","Area","Permanent crops","1981","1000 ha","10434",""
"Land Use","Brazil","Area","Permanent crops","1982","1000 ha","10396",""
"Land Use","Brazil","Area","Permanent crops","1983","1000 ha","10358",""
"Land Use","Brazil","Area","Permanent crops","1984","1000 ha","10320",""
"Land Use","Brazil","Area","Permanent crops","1985","1000 ha","9903",""
"Land Use","Brazil","Area","Permanent crops","1986","1000 ha","9746",""
"Land Use","Brazil","Area","Permanent crops","1987","1000 ha","9588",""
"Land Use","Brazil","Area","Permanent crops","1988","1000 ha","9431",""
"Land Use","Brazil","Area","Permanent crops","1989","1000 ha","9273",""
"Land Use","Brazil","Area","Permanent crops","1990","1000 ha","9116",""
"Land Use","Brazil","Area","Permanent crops","1991","1000 ha","8959",""
"Land Use","Brazil","Area","Permanent crops","1992","1000 ha","8801",""
"Land Use","Brazil","Area","Permanent crops","1993","1000 ha","8644",""
"Land Use","Brazil","Area","Permanent crops","1994","1000 ha","8486",""
"Land Use","Brazil","Area","Permanent crops","1995","1000 ha","7542",""
"Land Use","Brazil","Area","Permanent crops","1996","1000 ha","7918",""
"Land Use","Brazil","Area","Permanent crops","1997","1000 ha","8294",""
"Land Use","Brazil","Area","Permanent crops","1998","1000 ha","8670",""
"Land Use","Brazil","Area","Permanent crops","1999","1000 ha","9046",""
"Land Use","Brazil","Area","Permanent crops","2000","1000 ha","9422",""
"Land Use","Brazil","Area","Permanent crops","2001","1000 ha","9798",""
"Land Use","Brazil","Area","Permanent crops","2002","1000 ha","10174",""
"Land Use","Brazil","Area","Permanent crops","2003","1000 ha","10550",""
"Land Use","Brazil","Area","Permanent crops","2004","1000 ha","10926",""
"Land Use","Brazil","Area","Permanent crops","2005","1000 ha","11302",""
"Land Use","Brazil","Area","Permanent crops","2006","1000 ha","11679",""
"Land Use","Brazil","Area","Permanent crops","2007","1000 ha","11322",""
"Land Use","Brazil","Area","Permanent crops","2008","1000 ha","10966",""
"Land Use","Brazil","Area","Permanent crops","2009","1000 ha","10609",""
"Land Use","Brazil","Area","Permanent crops","2010","1000 ha","10252",""
"Land Use","Brazil","Area","Permanent crops","2011","1000 ha","9896",""
"Land Use","Brazil","Area","Permanent crops","2012","1000 ha","9539",""
"Land Use","Brazil","Area","Permanent crops","2013","1000 ha","9183",""
"Land Use","Brazil","Area","Permanent crops","2014","1000 ha","8826",""
"Land Use","Brazil","Area","Permanent crops","2015","1000 ha","8469",""
"Land Use","Brazil","Area","Permanent crops","2016","1000 ha","8113",""
"Land Use","Brazil","Area","Permanent crops","2017","1000 ha","7756",""
"Land Use","Brazil","Area","Permanent crops","2018","1000 ha","7756",""
"Land Use","Brazil","Area","Permanent crops","2019","1000 ha","7756",""
"Land Use","Brazil","Area","Permanent crops","2020","1000 ha","7756",""
"Land Use","Brazil","Area","Permanent crops","2021","1000 ha","7756",""
"Land Use","Brazil","Area","Permanent crops","2022","1000 ha","7756",""
"Land Use","Brazil","Area","Permanent crops","2023","1000 ha","7756",""
"Land Use","Brazil","Area","Forest land","1990","1000 ha","588898",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","1990","million t","58695.4637",""
"Land Use","Brazil","Area","Forest land","1991","1000 ha","585117.06",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","1991","million t","58412.3024",""
"Land Use","Brazil","Area","Forest land","1992","1000 ha","581336.12",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","1992","million t","58129.1412",""
"Land Use","Brazil","Area","Forest land","1993","1000 ha","577555.18",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","1993","million t","57845.98",""
"Land Use","Brazil","Area","Forest land","1994","1000 ha","573774.24",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","1994","million t","57562.8187",""
"Land Use","Brazil","Area","Forest land","1995","1000 ha","569993.3",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","1995","million t","57279.6575",""
"Land Use","Brazil","Area","Forest land","1996","1000 ha","566212.36",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","1996","million t","56996.4963",""
"Land Use","Brazil","Area","Forest land","1997","1000 ha","562431.42",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","1997","million t","56713.3351",""
"Land Use","Brazil","Area","Forest land","1998","1000 ha","558650.48",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","1998","million t","56430.1738",""
"Land Use","Brazil","Area","Forest land","1999","1000 ha","554869.54",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","1999","million t","56147.0126",""
"Land Use","Brazil","Area","Forest land","2000","1000 ha","551088.6",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2000","million t","55863.8514",""
"Land Use","Brazil","Area","Forest land","2001","1000 ha","547137.81",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2001","million t","55563.6296",""
"Land Use","Brazil","Area","Forest land","2002","1000 ha","543187.02",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2002","million t","55263.4079",""
"Land Use","Brazil","Area","Forest land","2003","1000 ha","539236.23",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2003","million t","54963.1861",""
"Land Use","Brazil","Area","Forest land","2004","1000 ha","535285.44",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2004","million t","54662.9643",""
"Land Use","Brazil","Area","Forest land","2005","1000 ha","531334.65",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2005","million t","54362.7426",""
"Land Use","Brazil","Area","Forest land","2006","1000 ha","527383.86",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2006","million t","54062.5208",""
"Land Use","Brazil","Area","Forest land","2007","1000 ha","523433.07",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2007","million t","53762.299",""
"Land Use","Brazil","Area","Forest land","2008","1000 ha","519482.28",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2008","million t","53462.0773",""
"Land Use","Brazil","Area","Forest land","2009","1000 ha","515531.49",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2009","million t","53161.8555",""
"Land Use","Brazil","Area","Forest land","2010","1000 ha","511580.7",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2010","million t","52861.6337",""
"Land Use","Brazil","Area","Forest land","2011","1000 ha","510041.52",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2011","million t","52790.2662",""
"Land Use","Brazil","Area","Forest land","2012","1000 ha","508502.34",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2012","million t","52718.8987",""
"Land Use","Brazil","Area","Forest land","2013","1000 ha","506963.16",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2013","million t","52647.5312",""
"Land Use","Brazil","Area","Forest land","2014","1000 ha","505423.98",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2014","million t","52576.1637",""
"Land Use","Brazil","Area","Forest land","2015","1000 ha","503885",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2015","million t","52505",""
"Land Use","Brazil","Area","Forest land","2016","1000 ha","502082",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2016","million t","52367",""
"Land Use","Brazil","Area","Forest land","2017","1000 ha","500092",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2017","million t","52210",""
"Land Use","Brazil","Area","Forest land","2018","1000 ha","499051",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2018","million t","52151",""
"Land Use","Brazil","Area","Forest land","2019","1000 ha","497799",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2019","million t","52060",""
"Land Use","Brazil","Area","Forest land","2020","1000 ha","496619.6",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2020","million t","51981",""
"Land Use","Brazil","Area","Forest land","2021","1000 ha","495391",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2021","million t","51894",""
"Land Use","Brazil","Area","Forest land","2022","1000 ha","494196",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2022","million t","51813",""
"Land Use","Brazil","Area","Forest land","2023","1000 ha","492978.7518",""
"Land Use","Brazil","Carbon stock in living biomass","Forest land","2023","million t","51728",""
