Entity,Code,Year,Food | 00002054 || Gross Production Value (constant 2014-2016 thousand US$) | 000058 || thousand US Dollar
Brazil,BRA,1961,25045903000
Brazil,BRA,1962,25846497000
Brazil,BRA,1963,25592934000
Brazil,BRA,1964,25179442000
Brazil,BRA,1965,30501655000
Brazil,BRA,1966,27536077000
Brazil,BRA,1967,30279873000
Brazil,BRA,1968,30161418000
Brazil,BRA,1969,31349558000
Brazil,BRA,1970,31690296000
Brazil,BRA,1971,34268284000
Brazil,BRA,1972,36042602000
Brazil,BRA,1973,33532891000
Brazil,BRA,1974,37559017000
Brazil,BRA,1975,38698233000
Brazil,BRA,1976,39645843000
Brazil,BRA,1977,42356064000
Brazil,BRA,1978,41818316000
Brazil,BRA,1979,44221340000
Brazil,BRA,1980,48495815000
Brazil,BRA,1981,51567052000
Brazil,BRA,1982,50796031000
Brazil,BRA,1983,51047247000
Brazil,BRA,1984,54316287000
Brazil,BRA,1985,58994725000
Brazil,BRA,1986,56016288000
Brazil,BRA,1987,63209909000
Brazil,BRA,1988,63929523000
Brazil,BRA,1989,67131581000
Brazil,BRA,1990,63661395000
Brazil,BRA,1991,66508017000
Brazil,BRA,1992,70120868000
Brazil,BRA,1993,71090874000
Brazil,BRA,1994,76663198000
Brazil,BRA,1995,79747437000
Brazil,BRA,1996,78626210000
Brazil,BRA,1997,82254692000
Brazil,BRA,1998,83962816000
Brazil,BRA,1999,89911807000
Brazil,BRA,2000,92615950000
Brazil,BRA,2001,97334426000
Brazil,BRA,2002,104974390000
Brazil,BRA,2003,112408144000
Brazil,BRA,2004,115885448000
Brazil,BRA,2005,115932588000
Brazil,BRA,2006,122037587000
Brazil,BRA,2007,128936938000
Brazil,BRA,2008,137871418000
Brazil,BRA,2009,135403470000
Brazil,BRA,2010,144144335000
Brazil,BRA,2011,150025190000
Brazil,BRA,2012,147889618000
Brazil,BRA,2013,158715098000
Brazil,BRA,2014,161791883000
Brazil,BRA,2015,166742916000
Brazil,BRA,2016,162547963000
Brazil,BRA,2017,176520155000
Brazil,BRA,2018,177891307000
Brazil,BRA,2019,179766560000
Brazil,BRA,2020,185741715000
Brazil,BRA,2021,186668480000
Brazil,BRA,2022,188619956000
Brazil,BRA,2023,208828843000